0	1
AND(OR(mongeElkan(x.title,y.label)|0.82,AND(OR(trigrams(x.label,y.label)|0.25,daitchmokotoff(x.title,y.title)|0.82)|0.82,trigrams(x.title,y.label)|0.25)|0.82)|0.82,daitchmokotoff(x.label,y.title)|0.25)	The link will be generated if the resource's title of the source and the resource's label of the target has an 82% of Mongeelkan similarity or the label of the source and the target resources has a 25% of Trigrams similarity or the title of the source and the target resources has an 82% of Daitchmokotoff similarity and the resource's title of the source and the resource's label of the target has a 25% of Trigrams similarity and the resource's label of the source and the resource's title of the target has a 25% of Daitchmokotoff similarity
OR(OR(matchrating(x.name,y.name)|0.82,OR(OR(overlap(x.workDescription,y.workDescription)|0.25,cosine(x.name,y.name)|0.82)|0.82,matchrating(x.name,y.name)|0.25)|0.25)|0.82,overlap(x.name,y.name)|0.25)	The link will be generated if the name of the source and the target resources has an 82% of Matchrating similarity or the workDescription of the source and the target resources has a 25% of Overlap similarity or the name of the source and the target resources has an 82% of Cosine similarity or a 25% of Matchrating similarity or an Overlap similarity
OR(AND(nysiis(x.givenName,y.authors)|0.82,OR(AND(qgrams(x.givenName,y.authors)|0.25,Koeln(x.authors,y.authors)|0.82)|0.82,caverphone1(x.givenName,y.authors)|0.25)|0.82)|0.82,qgrams(x.authors,y.authors)|0.25)	The link will be generated if the resource's givenName of the source and the resource's iis(x.givenName,y.authors of the target has an 82% of Nysiis similarity and the resource's givenName of the source and the resource's author of the target has a 25% of Qgrams similarity and the author of the source and the target resources has an 82% of Koeln similarity or the resource's givenName of the source and the resource's author of the target has a 25% of Caverphone1 similarity or the author of the source and the target resources has a 25% of Qgrams similarity
OR(AND(jaccard(x.comment,y.label)|0.0,OR(AND(matchrating(x.comment,y.label)|1.0,mongeElkan(x.label,y.label)|0.0)|0.0,soundex(x.comment,y.label)|1.0)|0.0)|0.0,matchrating(x.label,y.label)|1.0)	The link will be generated if the resource's comment of the source and the resource's label of the target has a complete mismatch of Jaccard similarity and an exact match of Matchrating similarity and the label of the source and the target resources has a complete mismatch of Mongeelkan similarity or the resource's x.comment of the source and the resource's label of the target has an exact match of Soundex similarity or the label of the source and the target resources has an exact match of Matchrating similarity
AND(OR(nysiis(x.firstName,y.workDescription)|0.82,AND(OR(matchrating(x.firstName,y.workDescription)|0.25,levenshtein(x.workDescription,y.workDescription)|0.82)|0.82,refinedsoundex(x.firstName,y.workDescription)|0.25)|0.82)|0.82,matchrating(x.workDescription,y.workDescription)|0.25)	The link will be generated if the resource's firstName of the source and the resource's iis(x.firstName,y.workDescription of the target has an 82% of Nysiis similarity or the resource's firstName of the source and the resource's workDescription of the target has a 25% of Matchrating similarity or the workDescription of the source and the target resources has an 82% of Levenshtein similarity and the resource's x.firstName of the source and the resource's workDescription of the target has a 25% of Refinedsoundex similarity and the workDescription of the source and the target resources has a 25% of Matchrating similarity
OR(AND(Koeln(x.comment,y.streetname)|0.82,OR(AND(matchrating(x.streetname,y.streetname)|0.55,daitchmokotoff(x.comment,y.comment)|0.82)|0.82,matchrating(x.comment,y.streetname)|0.55)|0.82)|0.82,daitchmokotoff(x.streetname,y.comment)|0.55)	The link will be generated if the resource's comment of the source and the resource's streetname of the target has an 82% of Koeln similarity and the streetname of the source and the target resources has a 55% of Matchrating similarity and the comment of the source and the target resources has an 82% of Daitchmokotoff similarity or the resource's comment of the source and the resource's streetname of the target has a 55% of Matchrating similarity or the resource's streetname of the source and the resource's comment of the target has a 55% of Daitchmokotoff similarity
AND(AND(nysiis(x.firstName,y.director)|0.0,AND(AND(trigrams(x.firstName,y.director)|0.55,jaroWinkler(x.director,y.director)|0.0)|0.0,soundex(x.firstName,y.director)|0.55)|0.0)|0.0,trigrams(x.director,y.director)|0.55)	The link will be generated if the resource's firstName of the source and the resource's iis(x.firstName,y.director of the target has a complete mismatch of Nysiis similarity and the resource's firstName of the source and the resource's director of the target has a 55% of Trigrams similarity and the director of the source and the target resources has a complete mismatch of Jarowinkler similarity and the resource's x.firstName of the source and the resource's director of the target has a 55% of Soundex similarity and the director of the source and the target resources has a 55% of Trigrams similarity
AND(OR(jaccard(x.title,y.label)|0.0,AND(OR(trigrams(x.title,y.label)|0.25,Koeln(x.label,y.label)|0.0)|0.0,caverphone1(x.title,y.label)|0.25)|0.0)|0.0,trigrams(x.label,y.label)|0.25)	The link will be generated if the resource's title of the source and the resource's label of the target has a complete mismatch of Jaccard similarity or a 25% of Trigrams similarity or the label of the source and the target resources has a complete mismatch of Koeln similarity and the resource's title of the source and the resource's label of the target has a 25% of Caverphone1 similarity and the label of the source and the target resources has a 25% of Trigrams similarity
AND(AND(trigrams(x.givenName,y.givenName)|0.0,AND(AND(levenshtein(x.description,y.description)|1.0,nysiis(x.givenName,y.givenName)|0.0)|0.0,trigrams(x.givenName,y.givenName)|1.0)|1.0)|0.0,levenshtein(x.givenName,y.givenName)|1.0)	The link will be generated if the givenName of the source and the target resources has a complete mismatch of Trigrams similarity and the description of the source and the target resources has an exact match of Levenshtein similarity and the resource's givenName of the source and the resource's iis(x.givenName,y.givenName of the target has a complete mismatch of Nysiis similarity and the givenName of the source and the target resources has an exact match of Trigrams similarity and an exact match of Levenshtein similarity
AND(AND(AND(matchrating(x.firstName,y.firstName)|0.82,OR(AND(cosine(x.label,y.label)|0.55,matchrating(x.firstName,y.firstName)|0.55)|0.82,overlap(x.label,y.label)|0.82)|0.55)|0.55,overlap(x.firstName,y.firstName)|0.82)|0.82,matchrating(x.label,y.label)|0.55)	The link will be generated if the firstName of the source and the target resources has an 82% of Matchrating similarity and the label of the source and the target resources has a 55% of Cosine similarity and the firstName of the source and the target resources has a 55% of Matchrating similarity or the label of the source and the target resources has an 82% of Overlap similarity and the firstName of the source and the target resources has an 82% of Overlap similarity and the label of the source and the target resources has a 55% of Matchrating similarity
AND(AND(AND(jaroWinkler(x.title,y.authors)|0.0,AND(AND(trigrams(x.authors,y.authors)|0.25,refinedsoundex(x.title,y.title)|0.0)|0.0,trigrams(x.title,y.authors)|0.25)|0.0)|0.0,refinedsoundex(x.authors,y.title)|0.25)|0.0,AND(trigrams(x.title,y.title)|0.0,cosine(x.title,y.title)|0.25)|0.25)	The link will be generated if the resource's title of the source and the resource's author of the target has a complete mismatch of Jarowinkler similarity and the author of the source and the target resources has a 25% of Trigrams similarity and the resource's x.title of the source and the resource's title of the target has a complete mismatch of Refinedsoundex similarity and the resource's title of the source and the resource's author of the target has a 25% of Trigrams similarity and the resource's x.authors of the source and the resource's title of the target has a 25% of Refinedsoundex similarity and the title of the source and the target resources has a complete mismatch of Trigrams similarity and a 25% of Cosine similarity
OR(OR(soundex(x.givenName,y.givenName)|0.45,OR(OR(overlap(x.givenName,y.product)|1.0,nysiis(x.givenName,y.givenName)|0.45)|0.45,overlap(x.givenName,y.givenName)|1.0)|1.0)|0.45,overlap(x.givenName,y.givenName)|1.0)	The link will be generated if the resource's x.givenName of the source and the resource's givenName of the target has a 45% of Soundex similarity or the resource's givenName of the source and the resource's product of the target has an exact match of Overlap similarity or the resource's givenName of the source and the resource's iis(x.givenName,y.givenName of the target has a 45% of Nysiis similarity or the givenName of the source and the target resources has an exact match of Overlap similarity or an exact match of Overlap similarity
AND(AND(cosine(x.firstName,y.streetname)|0.0,AND(AND(matchrating(x.firstName,y.streetname)|0.25,overlap(x.streetname,y.streetname)|0.0)|0.0,soundex(x.firstName,y.streetname)|0.25)|0.0)|0.0,matchrating(x.streetname,y.streetname)|0.25)	The link will be generated if the resource's firstName of the source and the resource's streetname of the target has a complete mismatch of Cosine similarity and a 25% of Matchrating similarity and the streetname of the source and the target resources has a complete mismatch of Overlap similarity and the resource's x.firstName of the source and the resource's streetname of the target has a 25% of Soundex similarity and the streetname of the source and the target resources has a 25% of Matchrating similarity
OR(OR(OR(doublemeta(x.givenName,y.givenName)|0.0,OR(OR(mongeElkan(x.authors,y.authors)|0.25,jaccard(x.authors,y.authors)|0.25)|0.0,doublemeta(x.authors,y.givenName)|0.0)|0.25)|0.25,mongeElkan(x.authors,y.givenName)|0.0)|0.0,doublemeta(x.givenName,y.authors)|0.25)	The link will be generated if the givenName of the source and the target resources has a complete mismatch of Doublemeta similarity or the author of the source and the target resources has a 25% of Mongeelkan similarity or a 25% of Jaccard similarity or the resource's author of the source and the resource's givenName of the target has a complete mismatch of Doublemeta similarity or a complete mismatch of Mongeelkan similarity or the resource's givenName of the source and the resource's author of the target has a 25% of Doublemeta similarity
OR(OR(OR(overlap(x.firstName,y.firstName)|0.45,cosine(x.firstName,y.firstName)|0.25)|0.45,AND(overlap(x.streetname,y.streetname)|0.45,cosine(x.firstName,y.firstName)|0.25)|0.25)|0.45,OR(OR(OR(trigrams(x.firstName,y.firstName)|0.45,AND(OR(cosine(x.streetname,y.streetname)|0.25,trigrams(x.firstName,y.firstName)|0.25)|0.45,overlap(x.streetname,y.streetname)|0.45)|0.25)|0.25,overlap(x.firstName,y.firstName)|0.45)|0.45,trigrams(x.streetname,y.streetname)|0.25)|0.25)	The link will be generated if the firstName of the source and the target resources has a 45% of Overlap similarity or a 25% of Cosine similarity and the streetname of the source and the target resources has a 45% of Overlap similarity and the firstName of the source and the target resources has a 25% of Cosine similarity or a 45% of Trigrams similarity or the streetname of the source and the target resources has a 25% of Cosine similarity or the firstName of the source and the target resources has a 25% of Trigrams similarity and the streetname of the source and the target resources has a 45% of Overlap similarity or the firstName of the source and the target resources has a 45% of Overlap similarity or the streetname of the source and the target resources has a 25% of Trigrams similarity
AND(OR(AND(mongeElkan(x.title,y.movie)|0.45,OR(AND(qgrams(x.movie,y.movie)|0.55,soundex(x.title,y.title)|0.45)|0.45,qgrams(x.title,y.movie)|0.55)|0.45)|0.45,soundex(x.movie,y.title)|0.55)|0.45,AND(qgrams(x.title,y.title)|0.45,jaccard(x.title,y.title)|0.55)|0.55)	The link will be generated if the resource's title of the source and the resource's movie of the target has a 45% of Mongeelkan similarity and the movie of the source and the target resources has a 55% of Qgrams similarity and the resource's x.title of the source and the resource's title of the target has a 45% of Soundex similarity or the resource's title of the source and the resource's movie of the target has a 55% of Qgrams similarity or the resource's x.movie of the source and the resource's title of the target has a 55% of Soundex similarity and the title of the source and the target resources has a 45% of Qgrams similarity and a 55% of Jaccard similarity
AND(AND(refinedsoundex(x.title,y.title)|0.0,AND(AND(overlap(x.title,y.product)|1.0,cosine(x.title,y.title)|0.0)|0.0,overlap(x.title,y.title)|1.0)|1.0)|0.0,overlap(x.title,y.title)|1.0)	The link will be generated if the resource's x.title of the source and the resource's title of the target has a complete mismatch of Refinedsoundex similarity and the resource's title of the source and the resource's product of the target has an exact match of Overlap similarity and the title of the source and the target resources has a complete mismatch of Cosine similarity and an exact match of Overlap similarity and an Overlap similarity
AND(AND(OR(doublemeta(x.firstName,y.firstName)|0.82,OR(AND(levenshtein(x.director,y.director)|0.55,jaccard(x.director,y.director)|0.55)|0.82,doublemeta(x.director,y.firstName)|0.82)|0.55)|0.55,levenshtein(x.director,y.firstName)|0.82)|0.82,doublemeta(x.firstName,y.director)|0.55)	The link will be generated if the firstName of the source and the target resources has an 82% of Doublemeta similarity and the director of the source and the target resources has a 55% of Levenshtein similarity and a 55% of Jaccard similarity or the resource's director of the source and the resource's firstName of the target has an 82% of Doublemeta similarity and an 82% of Levenshtein similarity and the resource's firstName of the source and the resource's director of the target has a 55% of Doublemeta similarity
OR(OR(OR(caverphone1(x.title,y.title)|0.45,OR(OR(mongeElkan(x.streetname,y.streetname)|1.0,nysiis(x.streetname,y.streetname)|1.0)|0.45,caverphone1(x.streetname,y.title)|0.45)|1.0)|1.0,mongeElkan(x.streetname,y.title)|0.45)|0.45,caverphone1(x.title,y.streetname)|1.0)	The link will be generated if the title of the source and the target resources has a 45% of Caverphone1 similarity or the streetname of the source and the target resources has an exact match of Mongeelkan similarity or the resource's streetname of the source and the resource's iis(x.streetname,y.streetname of the target has an exact match of Nysiis similarity or the resource's streetname of the source and the resource's title of the target has a 45% of Caverphone1 similarity or a 45% of Mongeelkan similarity or the resource's title of the source and the resource's streetname of the target has an exact match of Caverphone1 similarity
OR(OR(mongeElkan(x.name,y.authors)|0.45,OR(OR(qgrams(x.authors,y.authors)|0.55,meta(x.name,y.name)|0.45)|0.45,qgrams(x.name,y.authors)|0.55)|0.45)|0.45,meta(x.authors,y.name)|0.55)	The link will be generated if the resource's name of the source and the resource's author of the target has a 45% of Mongeelkan similarity or the author of the source and the target resources has a 55% of Qgrams similarity or the name of the source and the target resources has a 45% of Meta similarity or the resource's name of the source and the resource's author of the target has a 55% of Qgrams similarity or the resource's author of the source and the resource's name of the target has a 55% of Meta similarity
OR(AND(levenshtein(x.comment,y.movie)|0.82,OR(AND(trigrams(x.movie,y.movie)|0.25,soundex(x.comment,y.comment)|0.82)|0.82,trigrams(x.comment,y.movie)|0.25)|0.82)|0.82,soundex(x.movie,y.comment)|0.25)	The link will be generated if the resource's comment of the source and the resource's movie of the target has an 82% of Levenshtein similarity and the movie of the source and the target resources has a 25% of Trigrams similarity and the resource's x.comment of the source and the resource's comment of the target has an 82% of Soundex similarity or the resource's comment of the source and the resource's movie of the target has a 25% of Trigrams similarity or the resource's x.movie of the source and the resource's comment of the target has a 25% of Soundex similarity
OR(OR(OR(overlap(x.name,y.director)|0.82,OR(OR(matchrating(x.director,y.director)|1.0,soundex(x.name,y.name)|0.82)|0.82,matchrating(x.name,y.director)|1.0)|0.82)|0.82,soundex(x.director,y.name)|1.0)|0.82,OR(matchrating(x.name,y.name)|0.82,cosine(x.name,y.name)|1.0)|1.0)	The link will be generated if the resource's name of the source and the resource's director of the target has an 82% of Overlap similarity or the director of the source and the target resources has an exact match of Matchrating similarity or the resource's x.name of the source and the resource's name of the target has an 82% of Soundex similarity or the resource's name of the source and the resource's director of the target has an exact match of Matchrating similarity or the resource's x.director of the source and the resource's name of the target has an exact match of Soundex similarity or the name of the source and the target resources has an 82% of Matchrating similarity or an exact match of Cosine similarity
AND(AND(jaccard(x.firstName,y.label)|0.82,AND(AND(matchrating(x.firstName,y.label)|1.0,Koeln(x.label,y.label)|0.82)|0.82,ratcliff(x.firstName,y.label)|1.0)|0.82)|0.82,matchrating(x.label,y.label)|1.0)	The link will be generated if the resource's firstName of the source and the resource's label of the target has an 82% of Jaccard similarity and an exact match of Matchrating similarity and the label of the source and the target resources has an 82% of Koeln similarity and the resource's firstName of the source and the resource's label of the target has an exact match of Ratcliff similarity and the label of the source and the target resources has an exact match of Matchrating similarity
OR(AND(jaccard(x.givenName,y.authors)|0.45,OR(AND(qgrams(x.givenName,y.authors)|0.25,overlap(x.authors,y.authors)|0.45)|0.45,soundex(x.givenName,y.authors)|0.25)|0.45)|0.45,qgrams(x.authors,y.authors)|0.25)	The link will be generated if the resource's givenName of the source and the resource's author of the target has a 45% of Jaccard similarity and a 25% of Qgrams similarity and the author of the source and the target resources has a 45% of Overlap similarity or the resource's x.givenName of the source and the resource's author of the target has a 25% of Soundex similarity or the author of the source and the target resources has a 25% of Qgrams similarity
AND(AND(jaccard(x.firstName,y.description)|0.82,AND(AND(matchrating(x.firstName,y.description)|1.0,jaroWinkler(x.description,y.description)|0.82)|0.82,meta(x.firstName,y.description)|1.0)|0.82)|0.82,matchrating(x.description,y.description)|1.0)	The link will be generated if the resource's firstName of the source and the resource's description of the target has an 82% of Jaccard similarity and an exact match of Matchrating similarity and the description of the source and the target resources has an 82% of Jarowinkler similarity and the resource's firstName of the source and the resource's description of the target has an exact match of Meta similarity and the description of the source and the target resources has an exact match of Matchrating similarity
OR(OR(nysiis(x.name,y.director)|0.82,OR(OR(qgrams(x.name,y.director)|1.0,levenshtein(x.director,y.director)|0.82)|0.82,refinedsoundex(x.name,y.director)|1.0)|0.82)|0.82,qgrams(x.director,y.director)|1.0)	The link will be generated if the resource's name of the source and the resource's iis(x.name,y.director of the target has an 82% of Nysiis similarity or the resource's name of the source and the resource's director of the target has an exact match of Qgrams similarity or the director of the source and the target resources has an 82% of Levenshtein similarity or the resource's x.name of the source and the resource's director of the target has an exact match of Refinedsoundex similarity or the director of the source and the target resources has an exact match of Qgrams similarity
AND(AND(refinedsoundex(x.comment,y.comment)|0.0,AND(AND(levenshtein(x.comment,y.streetname)|1.0,jaccard(x.comment,y.comment)|0.0)|0.0,levenshtein(x.comment,y.comment)|1.0)|1.0)|0.0,levenshtein(x.comment,y.comment)|1.0)	The link will be generated if the resource's x.comment of the source and the resource's comment of the target has a complete mismatch of Refinedsoundex similarity and the resource's comment of the source and the resource's streetname of the target has an exact match of Levenshtein similarity and the comment of the source and the target resources has a complete mismatch of Jaccard similarity and an exact match of Levenshtein similarity and a Levenshtein similarity
OR(OR(OR(jaroWinkler(x.comment,y.director)|0.45,OR(OR(qgrams(x.director,y.director)|0.25,caverphone1(x.comment,y.comment)|0.45)|0.45,qgrams(x.comment,y.director)|0.25)|0.45)|0.45,caverphone1(x.director,y.comment)|0.25)|0.45,OR(qgrams(x.comment,y.comment)|0.45,nysiis(x.comment,y.comment)|0.25)|0.25)	The link will be generated if the resource's comment of the source and the resource's director of the target has a 45% of Jarowinkler similarity or the director of the source and the target resources has a 25% of Qgrams similarity or the comment of the source and the target resources has a 45% of Caverphone1 similarity or the resource's comment of the source and the resource's director of the target has a 25% of Qgrams similarity or the resource's director of the source and the resource's comment of the target has a 25% of Caverphone1 similarity or the comment of the source and the target resources has a 45% of Qgrams similarity or the resource's comment of the source and the resource's iis(x.comment,y.comment of the target has a 25% of Nysiis similarity
OR(OR(OR(doublemeta(x.givenName,y.givenName)|0.0,OR(OR(Koeln(x.product,y.product)|0.55,jaccard(x.product,y.product)|0.55)|0.0,doublemeta(x.product,y.givenName)|0.0)|0.55)|0.55,Koeln(x.product,y.givenName)|0.0)|0.0,doublemeta(x.givenName,y.product)|0.55)	The link will be generated if the givenName of the source and the target resources has a complete mismatch of Doublemeta similarity or the product of the source and the target resources has a 55% of Koeln similarity or a 55% of Jaccard similarity or the resource's product of the source and the resource's givenName of the target has a complete mismatch of Doublemeta similarity or a complete mismatch of Koeln similarity or the resource's givenName of the source and the resource's product of the target has a 55% of Doublemeta similarity
OR(AND(jaccard(x.comment,y.streetname)|0.0,OR(AND(qgrams(x.comment,y.streetname)|1.0,levenshtein(x.streetname,y.streetname)|0.0)|0.0,refinedsoundex(x.comment,y.streetname)|1.0)|0.0)|0.0,qgrams(x.streetname,y.streetname)|1.0)	The link will be generated if the resource's comment of the source and the resource's streetname of the target has a complete mismatch of Jaccard similarity and an exact match of Qgrams similarity and the streetname of the source and the target resources has a complete mismatch of Levenshtein similarity or the resource's x.comment of the source and the resource's streetname of the target has an exact match of Refinedsoundex similarity or the streetname of the source and the target resources has an exact match of Qgrams similarity
AND(AND(trigrams(x.authors,y.authors)|0.82,jaccard(x.givenName,y.authors)|1.0)|0.82,AND(jaroWinkler(x.givenName,y.givenName)|0.82,trigrams(x.givenName,y.authors)|1.0)|0.82)	The link will be generated if the author of the source and the target resources has an 82% of Trigrams similarity and the resource's givenName of the source and the resource's author of the target has an exact match of Jaccard similarity and the givenName of the source and the target resources has an 82% of Jarowinkler similarity and the resource's givenName of the source and the resource's author of the target has an exact match of Trigrams similarity
AND(AND(OR(refinedsoundex(x.givenName,y.givenName)|0.45,OR(AND(overlap(x.description,y.description)|0.55,cosine(x.description,y.description)|0.55)|0.45,refinedsoundex(x.description,y.givenName)|0.45)|0.55)|0.55,overlap(x.description,y.givenName)|0.45)|0.45,refinedsoundex(x.givenName,y.description)|0.55)	The link will be generated if the resource's x.givenName of the source and the resource's givenName of the target has a 45% of Refinedsoundex similarity and the description of the source and the target resources has a 55% of Overlap similarity and a 55% of Cosine similarity or the resource's x.description of the source and the resource's givenName of the target has a 45% of Refinedsoundex similarity and the resource's description of the source and the resource's givenName of the target has a 45% of Overlap similarity and the resource's x.givenName of the source and the resource's description of the target has a 55% of Refinedsoundex similarity
AND(AND(AND(jaroWinkler(x.givenName,y.label)|0.0,AND(AND(qgrams(x.label,y.label)|0.55,daitchmokotoff(x.givenName,y.givenName)|0.0)|0.0,qgrams(x.givenName,y.label)|0.55)|0.0)|0.0,daitchmokotoff(x.label,y.givenName)|0.55)|0.0,AND(qgrams(x.givenName,y.givenName)|0.0,nysiis(x.givenName,y.givenName)|0.55)|0.55)	The link will be generated if the resource's givenName of the source and the resource's label of the target has a complete mismatch of Jarowinkler similarity and the label of the source and the target resources has a 55% of Qgrams similarity and the givenName of the source and the target resources has a complete mismatch of Daitchmokotoff similarity and the resource's givenName of the source and the resource's label of the target has a 55% of Qgrams similarity and the resource's label of the source and the resource's givenName of the target has a 55% of Daitchmokotoff similarity and the givenName of the source and the target resources has a complete mismatch of Qgrams similarity and the resource's givenName of the source and the resource's iis(x.givenName,y.givenName of the target has a 55% of Nysiis similarity
